Time (BJD_TBD - 2450000), F_star + F_h (mJy)
9.896128576389048249e+03,3.604081417598747450e+00
9.896128599245501391e+03,3.604081417623960171e+00
9.896128622101952715e+03,3.604081417649173336e+00
9.896128644958405857e+03,3.604081417674388721e+00
9.896128667814857181e+03,3.604081417699605883e+00
9.896128690671310324e+03,3.604081417724825709e+00
9.896128713527761647e+03,3.604081417750045979e+00
9.896128736384214790e+03,3.604081417775268914e+00
9.896128759240666113e+03,3.604081417800493181e+00
9.896128782097119256e+03,3.604081417825719225e+00
9.896128804953570580e+03,3.604081417850947044e+00
9.896128827810023722e+03,3.604081417876177085e+00
9.896128850666476865e+03,3.604081417901408457e+00
9.896128873522928188e+03,3.604081417926641606e+00
9.896128896379381331e+03,3.604081417951876531e+00
9.896128919235832655e+03,3.604081417977112789e+00
9.896128942092285797e+03,3.604081418002351711e+00
9.896128964948737121e+03,3.604081418027591521e+00
9.896128987805190263e+03,3.604081418052833552e+00
9.896129010661641587e+03,3.604081418078076915e+00
9.896129033518094730e+03,3.604081418103322942e+00
9.896129056374546053e+03,3.604081418128569858e+00
9.896129079230999196e+03,3.604081418153818994e+00
9.896129102087450519e+03,3.604081418179069907e+00
9.896129124943903662e+03,3.604081418204322151e+00
9.896129147800356805e+03,3.604081418229577061e+00
9.896129170656808128e+03,3.604081418254832858e+00
9.896129193513261271e+03,3.604081418280090876e+00
9.896129216369712594e+03,3.604081418305350226e+00
9.896129239226165737e+03,3.604081418330611797e+00
9.896129262082617061e+03,3.604081418355875144e+00
9.896129284939070203e+03,3.604081418381139823e+00
9.896129307795521527e+03,3.604081418406406723e+00
9.896129330651974669e+03,3.604081418431674955e+00
9.896129353508425993e+03,3.604081418456944963e+00
9.896129376364879136e+03,3.604081418482217192e+00
9.896129399221332278e+03,3.604081418507491641e+00
9.896129422077783602e+03,3.604081418532766090e+00
9.896129444934236744e+03,3.604081418558043648e+00
9.896129467790688068e+03,3.604081418583322982e+00
9.896129490647141211e+03,3.604081418608603649e+00
9.896129513503592534e+03,3.604081418633886535e+00
9.896129536360045677e+03,3.604081418659170755e+00
9.896129559216497000e+03,3.604081418684456750e+00
9.896129582072950143e+03,3.604081418709744522e+00
9.896129604929401467e+03,3.604081418735034514e+00
9.896129627785854609e+03,3.604081418760325395e+00
9.896129650642307752e+03,3.604081418785618496e+00
9.896129673498759075e+03,3.604081418810913373e+00
9.896129696355212218e+03,3.604081418836210027e+00
9.896129719211663542e+03,3.604081418861508457e+00
9.896129742068116684e+03,3.604081418886809107e+00
9.896129764924568008e+03,3.604081418912111090e+00
9.896129787781021150e+03,3.604081418937414849e+00
9.896129810637472474e+03,3.604081418962719940e+00
9.896129833493925616e+03,3.604081418988027696e+00
9.896129856350376940e+03,3.604081419013335896e+00
9.896129879206830083e+03,3.604081419038646761e+00
9.896129902063283225e+03,3.604081419063959402e+00
9.896129924919734549e+03,3.604081419089274263e+00
