Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
1.027127336805546656e+04,2.558217770973083560e+00
1.027127353332662278e+04,2.558217846395633543e+00
1.027127369859778082e+04,2.558217921815749918e+00
1.027127386386893704e+04,2.558217997233429131e+00
1.027127402914009326e+04,2.558218072648667629e+00
1.027127419441124948e+04,2.558218148061456532e+00
1.027127435968240752e+04,2.558218223471795838e+00
1.027127452495356374e+04,2.558218298879681996e+00
1.027127469022471996e+04,2.558218374285109675e+00
1.027127485549587800e+04,2.558218449688077101e+00
1.027127502076703422e+04,2.558218525088577167e+00
1.027127518603819044e+04,2.558218600486602767e+00
1.027127535130934666e+04,2.558218675882155679e+00
1.027127551658050470e+04,2.558218751275232350e+00
1.027127568185166092e+04,2.558218826665823897e+00
1.027127584712281714e+04,2.558218902053932098e+00
1.027127601239397518e+04,2.558218977439548070e+00
1.027127617766513140e+04,2.558219052822668260e+00
1.027127634293628762e+04,2.558219128203290893e+00
1.027127650820744384e+04,2.558219203581410639e+00
1.027127667347860188e+04,2.558219278957023946e+00
1.027127683874975810e+04,2.558219354330125483e+00
1.027127700402091432e+04,2.558219429700711700e+00
1.027127716929207236e+04,2.558219505068780819e+00
1.027127733456322858e+04,2.558219580434325735e+00
1.027127749983438480e+04,2.558219655797342895e+00
1.027127766510554284e+04,2.558219731157830523e+00
1.027127783037669906e+04,2.558219806515781514e+00
1.027127799564785528e+04,2.558219881871194090e+00
1.027127816091901150e+04,2.558219957224062924e+00
1.027127832619016954e+04,2.558220032574386238e+00
1.027127849146132576e+04,2.558220107922156927e+00
1.027127865673248198e+04,2.558220183267371439e+00
1.027127882200364002e+04,2.558220258610029774e+00
1.027127898727479624e+04,2.558220333950123049e+00
1.027127915254595246e+04,2.558220409287647712e+00
1.027127931781710868e+04,2.558220484622601987e+00
1.027127948308826672e+04,2.558220559954982321e+00
1.027127964835942294e+04,2.558220635284781608e+00
1.027127981363057916e+04,2.558220710611994519e+00
1.027127997890173719e+04,2.558220785936622832e+00
1.027128014417289342e+04,2.558220861258659440e+00
1.027128030944404964e+04,2.558220936578099014e+00
1.027128047471520586e+04,2.558221011894939778e+00
1.027128063998636389e+04,2.558221087209176403e+00
1.027128080525752011e+04,2.558221162520807113e+00
1.027128097052867633e+04,2.558221237829824801e+00
1.027128113579983437e+04,2.558221313136225916e+00
1.027128130107099059e+04,2.558221388440010458e+00
1.027128146634214681e+04,2.558221463741165991e+00
